Kanji;Kana;Romaji;Translation;Part of Speech
損;そん;son;loss, disadvantage;Noun, Na-adjective (keiyodoshi), Suru verb, Intransitive verb
備える;そなえる;sonaeru;to furnish, to provide for;Ichidan verb, Transitive verb
尊重;そんちょう;sonchou;respect, esteem;Noun, Suru verb, Transitive verb
損害;そんがい;songai;damage, injury, loss;Noun, Suru verb
尊敬;そんけい;sonkei;respect, esteem;Noun, Suru verb, Transitive verb
存在;そんざい;sonzai;existence, being;Noun, Suru verb, Intransitive verb
夫々;それぞれ;sorezore;each, respectively​;Adverb (fukushi), Noun, Noun which may take the genitive case particle 'no'
注ぐ;そそぐ;sosogu;to pour into, to fill;Godan verb with 'gu' ending, Transitive verb
組織;そしき;soshiki;organization;Noun, Suru verb
装置;そうち;souchi;equipment, installation;Noun, Suru verb, Transitive verb
早朝;そうちょう;souchou;early morning;Noun, Adverb (fukushi)
掃除機;そうじき;soujiki;vacuum cleaner​;Noun
騒音;そうおん;souon;noise;Noun
操作;そうさ;sousa;operation, management;Noun, Suru verb, Transitive verb
早退;そうたい;soutai;leaving early​;Noun, Suru verb, Intransitive verb
相当;そうとう;soutou;considerable, suitable;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'
相続;そうぞく;souzoku;succession, inheritance;Noun, Suru verb, Transitive verb
想像;そうぞう;souzou;imagination, guess;Noun, Suru verb, Transitive verb
巣;す;su;nest, hive;Noun
全て;すべて;subete;everything, all;Noun, Noun which may take the genitive case particle 'no'
末;すえ;sue;tip, top, end, close;Noun
姿;すがた;sugata;figure, form, shape;Noun
筋;すじ;suji;muscle;Noun
過ごす;すごす;sugosu;to pass (time);Godan verb with 'su' ending, Transitive verb
優れる;すぐれる;sugureru;to surpass, to excel;Ichidan verb, Intransitive verb
水準;すいじゅん;suijun;level, standard;Noun
睡眠;すいみん;suimin;sleep;Noun, Noun which may take the genitive case particle 'no'
推薦;すいせん;suisen;recommendation, referral;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'
救う;すくう;sukuu;to rescue from;Godan verb with 'u' ending, Transitive verb
済ませる;すませる;sumaseru;to finish;Ichidan verb, Transitive verb
鋭い;するどい;surudoi;sharp, pointed;I-adjective (keiyoushi)
進める;すすめる;susumeru;to advance, to promote;Ichidan verb, Transitive verb
勧める;すすめる;susumeru;to recommend;Ichidan verb, Transitive verb
素敵;すてき;suteki;lovely, beautiful;Na-adjective (keiyodoshi)
数字;すうじ;suuji;numeral, figure, digit;Noun
束;たば;taba;bundle, bunch;Noun, Noun, used as a suffix, Counter
旅;たび;tabi;travel, trip, journey;Noun
度々;たびたび;tabitabi;often, again and again;Adverb (fukushi)
多分;たぶん;tabun;perhaps, probably;Adverb (fukushi)
立場;たちば;tachiba;standpoint, position;Noun
立上る;たちのぼる;tachiagaru;to stand up;Godan verb with 'ru' ending, Intransitive verb
唯;ただ;tada;ordinary, free of charge;Noun which may take the genitive case particle 'no', Noun
直ちに;ただちに;tadachi ni;at once, immediately;Adverb (fukushi)
互い;たがい;tagai;mutual, reciprocal;Noun, Noun which may take the genitive case particle 'no'
態度;たいど;taido;attitude, manner;Noun
大半;たいはん;taihan;majority, more than half;Noun, Noun which may take the genitive case particle 'no'
逮捕;たいほ;taiho;arrest, apprehension;Noun, Suru verb, Transitive verb
体育;たいいく;taiiku;physical education;Noun
体育館;たいいくかん;taiikukan;gymnasium;Noun
体重;たいじゅう;taijuu;(body) weight​;Noun
大会;たいかい;taikai;convention, tournament;Noun
大気;たいき;taiki;atmosphere;Noun
退屈;たいくつ;taikutsu;tedium, boredom;Na-adjective (keiyodoshi), Noun
体温;たいおん;taion;body temperature;Noun
平ら;たいら;taira;flatness, level;Na-adjective (keiyodoshi)
大陸;たいりく;tairiku;continent;Noun, Noun which may take the genitive case particle 'no'
体力;たいりょく;tairyoku;physical strength, stamina;Noun
大量;たいりょう;tairyou;large quantity, mass;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun
大戦;たいせん;taisen;great war, great battle;Noun
大使;たいし;taishi;ambassador;Noun, Noun which may take the genitive case particle 'no'
大した;たいした;taishita;considerable, great;Pre-noun adjectival (rentaishi)
対象;たいしょう;taishou;target, object;Noun, Noun which may take the genitive case particle 'no'
体操;たいそう;taisou;gymnastics, physical exercises;Noun, Suru verb, Intransitive verb
対する;たいする;tai suru;to face (each other);Suru verb - special class
大抵;たいてい;taitei;mostly, usually;Na-adjective (keiyodoshi), Adverb (fukushi), Noun
太陽;たいよう;taiyou;sun, solar;Noun
滞在;たいざい;taizai;staying, sojourn;Noun, Suru verb, Intransitive verb
宝;たから;takara;treasure;Noun
弾;たま;tama;ball, sphere, globe, bullet;Noun
貯まる;たまる;tamaru;to be saved up (of money)​;Godan verb with 'ru' ending, Intransitive verb
偶々;たまたま;tamatama;casually, unexpectedly;Adverb (fukushi)
貯める;ためる;tameru;to save up (money);Ichidan verb, Transitive verb
試し;ためし;tameshi;trial, test;Noun
試す;ためす;tamesu;to try out, to test;Godan verb with 'su' ending, Transitive verb
種;たね;tane;seed, kind, variety;Noun
単語;たんご;tango;word, vocabulary;Noun
谷;たに;tani;valley;Noun
単位;たんい;tan’i;unit, denomination;Noun
短気;たんき;tanki;quick temper, short temper​;Noun, Na-adjective (keiyodoshi)
他人;たにん;ta’nin;another person, others;Noun
単なる;たんなる;tannaru;mere, simple, sheer;Pre-noun adjectival (rentaishi)
単に;たんに;tan ni;simply, merely;Adverb (fukushi)
誕生;たんじょう;tanjou;birth, creation;Noun, Suru verb
単純;たんじゅん;tanjun;simplicity, simple;Na-adjective (keiyodoshi), Noun
楽しむ;たのしむ;tanoshimu;to enjoy (oneself)​;Godan verb with 'mu' ending, Transitive verb
担当;たんとう;tantou;being in charge;Noun, Suru verb, Transitive verb
倒す;たおす;taosu;to bring down;Godan verb with 'su' ending, Transitive verb
確かめる;たしかめる;tashikameru;to ascertain, to check;Ichidan verb, Transitive verb
多少;たしょう;tashou;more or less, somewhat;Adverb (fukushi), Noun which may take the genitive case particle 'no'
達する;たっする;tassuru;to reach, to get to;Suru verb - special class
助ける;たすける;tasukeru;to save, to rescue;Ichidan verb, Transitive verb
戦い;たたかい;tatakai;battle, fight;Noun
戦う;たたかう;tatakau;to fight, to struggle;Godan verb with 'u' ending, Intransitive verb
叩く;たたく;tataku;to strike, to beat;Godan verb with 'ku' ending, Transitive verb
縦;たて;tate;the vertical, height;Noun
立て直す;たてなおす;tatenaosu;to restore, to revive;Godan verb with 'su' ending, Transitive verb
経つ;たつ;tatsu;to pass, to lapse;Godan verb with 'tsu' ending, Intransitive verb
便り;たより;tayori;news, tidings;Noun, Noun, used as a suffix, Suru verb
頼る;たよる;tayoru;to rely on;Godan verb with 'ru' ending, Intransitive verb, Transitive verb
提案;ていあん;teian;proposal, suggestion;Noun, Suru verb, Transitive verb
停電;ていでん;teiden;power outage, blackout;Noun, Suru verb, Intransitive verb
程度;ていど;teido;degree, amount;Noun, Adverb (fukushi), Noun, used as a suffix
定期;ていき;teiki;fixed period, fixed term;Noun
抵抗;ていこう;teikou;resistance, opposition;Noun, Suru verb, Intransitive verb
停留所;ていりゅうじょ;teiryuujou;bus stop, tram stop;Noun
停車;ていしゃ;teisha;stopping (of a train, car, etc.);Noun, Suru verb, Intransitive verb
定食;ていしょく;teishoku;set meal;Noun
提出;ていしゅつ;teishutsu;to present, to submit;Noun, Suru verb, Transitive verb
手品;てじな;tejina;sleight of hand, magic;Noun
敵;てき;teki;opponent, rival;Noun
適する;てきする;teki suru;to fit, to suit;Suru verb - special class, Intransitive verb
適度;てきど;tekido;moderate;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun
適切;てきせつ;tekisetsu;adequate, appropriate;Na-adjective (keiyodoshi), Noun
適用;てきよう;tekiyou;applying, adoption;Noun, Suru verb, Transitive verb
手間;てま;tema;time, labor;Noun
典型;てんけい;tenkei;pattern, model;Noun
天候;てんこう;tenkou;weather;Noun
店内;てんない;tennai;store interior​;Noun, Noun which may take the genitive case particle 'no'
天然;てんねん;tennen;nature, spontaneity;Noun, Noun which may take the genitive case particle 'no'
徹底;てってい;tettei;thoroughness, completeness;Noun, Suru verb, Transitive verb, Intransitive verb
鉄;てつ;tetsu;iron;Noun
手伝い;てつだい;tetsudai;assistant, help;Noun
鉄道;てつどう;tetsudou;railroad, railway;Noun
哲学;てつがく;tetsugaku;philosophy;Noun
徹夜;てつや;tetsuya;all night;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'
飛ばす;とばす;tobasu;to fly, to skip over;Godan verb with 'su' ending, Transitive verb
土地;とち;tochi;plot of land, soil;Noun
届く;とどく;todoku;to reach, to be delivered;Godan verb with 'ku' ending, Intransitive verb
徒歩;とほ;toho;walking, going on foot​;Noun, Noun which may take the genitive case particle 'no'
問い;とい;toi;question, query;Noun
閉じる;とじる;tojiru;to close (book, eyes);Ichidan verb, Transitive verb, Intransitive verb
都会;とかい;tokai;city;Noun, Noun which may take the genitive case particle 'no'
解ける;とける;tokeru;to be solved, to loosen;Ichidan verb, Intransitive verb
時;とき;toki;time, hour, moment, occasion;Noun
解く;とく;toku;to untie, to solve;Godan verb with 'ku' ending, Transitive verb
特徴;とくちょう;tokuchou;feature, trait;Noun
得意;とくい;tokui;one’s strong point, frequent customer;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'
留める;とめる;tomaru;to stop, to turn off;Ichidan verb, Transitive verb
友;とも;tomo;friend, companion;Noun
兎に角;とにかく;tonikaku;anyhow, at any rate;Adverb (fukushi)
通り;とおり;toori;avenue, street;Noun
通り過ぎる;とおりすぎる;toorisugiru;to pass through;Ichidan verb, Intransitive verb
通す;とおす;toosu;to force through, to let pass;Godan verb with 'su' ending, Transitive verb
虎;とら;tora;tiger;Noun
取れる;とれる;toreru;to come off, to be removed;Ichidan verb, Intransitive verb
取上げる;とりあげる;toriageru;to take up, to pick up;Ichidan verb, Transitive verb
都市;とし;toshi;town, city;Noun, Noun which may take the genitive case particle 'no'
年月;としつき;toshitsuki;months and years;Noun
年寄;としより;toshiyori;old people, the aged;Noun, Noun which may take the genitive case particle 'no'
図書;としょ;tosho;books;Noun
突然;とつぜん;totsuzen;abrupt, sudden;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Adverb (fukushi)
党;とう;tou;party (political);Noun, Noun, used as a suffix
塔;とう;tou;tower, pagoda;Noun, Noun, used as a suffix
答案;とうあん;touan;examination paper;Noun
到着;とうちゃく;touchaku;arrival;Noun, Suru verb, Intransitive verb
投票;とうひょう;touhyou;voting, poll;Noun, Suru verb, Intransitive verb
当日;とうじつ;toujitsu;appointed day, very day​;Noun, Adverb (fukushi)
当然;とうぜん;touzen;natural;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)
登山;とざん;tozan;mountain climbing;Noun, Suru verb, Intransitive verb
翼;つばさ;tsubasa;wing;Noun
土;つち;tsuchi;earth, soil, dirt;Noun
次々;つぎつぎ;tsugitsugi;in succession, one by one;Adverb (fukushi), Adverb taking the 'to' particle, Noun
遂に;ついに;tsui ni;finally, at last;Adverb (fukushi)
捕まる;つかまる;tsukamaru;to be caught;Godan verb with 'ru' ending, Intransitive verb
掴む;つかむ;tsukamu;to seize, to catch;Godan verb with 'mu' ending, Transitive verb
疲れ;つかれ;tsukare;tiredness, fatigue;Noun
付合い;つきあい;tsukiai;association, socializing;Noun
付き合う;つきあう;tsukiau;to associate with, to go out with;Godan verb with 'u' ending, Intransitive verb
就く;つく;tsuku;to take (seat, position);Godan verb with 'ku' ending, Intransitive verb
詰める;つめる;tsumeru;to stuff into, to jam;Ichidan verb, Transitive verb
罪;つみ;tsumi;crime, sin, wrongdoing;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'
積もる;つもる;tsumoru;to pile up, to accumulate;Godan verb with 'ru' ending, Intransitive verb
繋ぐ;つなぐ;tsunagu;to connect, to link together;Godan verb with 'gu' ending, Transitive verb
常に;つねに;tsune ni;always, constantly;Adverb (fukushi)
角;つの;tsuno;horn;Noun, Noun, used as a suffix
辛い;からい;tsurai;painful, bitter;I-adjective (keiyoushi)
連れ;つれ;tsure;companion, company;Noun
釣;つり;tsuri;fishing, angling;Noun
伝わる;つたわる;tsutawaru;to be transmitted;Godan verb with 'ru' ending, Intransitive verb
勤め;つとめ;tsutome;service, duty, business;Noun
包み;つつみ;tsutsumi;bundle, package, parcel;Noun
通知;つうち;tsuuchi;notice, notification;Noun, Suru verb, Transitive verb
通学;つうがく;tsuugaku;commuting to school;Noun, Suru verb, Intransitive verb
通じる;つうじる;tsuujiru;to lead to, to be understood;Ichidan verb, Intransitive verb
通過;つうか;tsuuka;passage through;Noun, Suru verb, Intransitive verb
通勤;つうきん;tsuukin;commuting to work​;Noun, Suru verb, Intransitive verb
通行;つうこう;tsuukou;passage, passing;Noun, Suru verb, Intransitive verb
通信;つうしん;tsuushin;correspondence, communication;Noun, Suru verb, Transitive verb, Intransitive verb
通訳;つうやく;tsuuyaku;interpretation;Noun, Suru verb, Transitive verb;перевод, переводчик, ~suru переводить
梅雨;つゆ;tsuyu;rainy season;Noun
続き;つづき;tsuzuki;sequel, continuation;Noun
奪う;うばう;ubau;to snatch away;Godan verb with 'u' ending, Transitive verb
宇宙;うちゅう;uchuu;universe, cosmos;Noun
動かす;うごかす;ugokasu;to move, to shift;Godan verb with 'su' ending, Transitive verb
伺う;うかがう;ukagau;to ask, to inquire;Godan verb with 'u' ending, Transitive verb
受け取る;うけとる;uketoru;to receive, to get;Godan verb with 'ru' ending, Transitive verb
浮く;うく;uku;to float​;Godan verb with 'ku' ending, Intransitive verb
馬;うま;uma;horse;Noun
生まれ;うまれ;umare;birth, birthplace;Noun
梅;うめ;ume;plum, plum tree;Noun
埋める;うめる;umeru;to bury, to fill up;Ichidan verb, Transitive verb
運;うん;un;fortune, luck;Noun
唸る;うなる;unaru;to groan, to moan;Godan verb with 'ru' ending, Intransitive verb
運動会;うんどうかい;undoukai;athletic meet, sports day​;Noun
裏側;うらがわ;uragawa;the reverse, other side;Noun
羨ましい;うらやましい;urayamashii;envious, jealous;I-adjective (keiyoushi)
裏切る;うらぎる;uragiru;to betray;Godan verb with 'ru' ending, Transitive verb
売れる;うれる;ureru;to sell well;Ichidan verb, Intransitive verb
売り切れる;うりきれる;urikireru;to be sold out​;Ichidan verb, Intransitive verb
兎;うさぎ;usagi;rabbit, hare;Noun
牛;うし;ushi;cattle, cow;Noun
失う;うしなう;ushinau;to lose;Godan verb with 'u' ending, Transitive verb
疑う;うたがう;utagau;to doubt, to distrust;Godan verb with 'u' ending, Transitive verb
撃つ;うつ;utsu;to shoot, to attack;Godan verb with 'tsu' ending, Transitive verb
移す;うつす;utsusu;to transfer, to move;Godan verb with 'su' ending, Transitive verb
訴える;うったえる;uttaeru;to appeal, to sue;Ichidan verb, Transitive verb
噂;うわさ;uwasa;rumor, gossip;Noun, Suru verb, Noun which may take the genitive case particle 'no'
輪;わ;wa;ring, circle, loop;Noun
話題;わだい;wadai;topic, subject;Noun
我が家;わがや;wagaya;one’s house, one’s home;Expressions (phrases, clauses, etc.), Noun
若者;わかもの;wakamono;young people;Noun
別れ;わかれ;wakare;parting, separation;Noun
訳;やく;wake;reason, cause, meaning;Noun
分ける;わける;wakeru;to divide;Ichidan verb, Transitive verb
脇;わき;waki;beside, close to, nearby;Noun
湾;わん;wan;bay, gulf;Noun, Noun, used as a suffix
笑い;わらい;warai;laugh, laughter;Noun
我々;われわれ;wareware;we;Pronoun
割;わり;wari;rate, ratio, proportion;Noun, Noun, used as a suffix
割引;わりびき;waribiki;discount, reduction;Noun
割る;わる;waru;to divide, to cut;Godan verb with 'ru' ending, Transitive verb
悪口;あっこう;warukuchi;bad mouth, insult;Noun
僅か;わずか;wazuka;only, merely;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'
破る;やぶる;yaburu;to tear, to break;Godan verb with 'ru' ending, Transitive verb
家賃;やちん;yachin;rent;Noun
宿;やど;yado;inn, lodging;Noun
矢張り;やはり;yahari;as expected;Adverb (fukushi)
夜間;やかん;yakan;night, nighttime​;Noun, Adverb (fukushi)
厄介;やっかい;yakkai;trouble, nuisance;Na-adjective (keiyodoshi), Noun
役;やく;yaku;use, service, role;Noun
約;やく;yaku;approximately, about;Adverb (fukushi)
役立つ;やくだつ;yakudatsu;to be useful, to be helpful;Godan verb with 'tsu' ending, Intransitive verb
役割;やくわり;yakuwari;part, role, duties;Noun
野球;やきゅう;yakyuu;baseball;Noun
山登り;やまのぼり;yamanobori;mountain climbing;Noun
辞める;やめる;yameru;to retire, to resign;Ichidan verb, Transitive verb
屋根;やね;yane;roof;Noun
雇う;やとう;yatou;to employ, to hire;Godan verb with 'u' ending, Transitive verb
夜明け;よあけ;yoake;dawn, daybreak;Noun
予防;よぼう;yobou;prevention, precaution;Noun, Suru verb, Transitive verb
余分;よぶん;yobun;extra, excess;Na-adjective (keiyodoshi), Noun
汚れ;よごれ;yogore;dirt, filth, stain;Noun
予報;よほう;yohou;forecast, prediction;Noun, Suru verb, Transitive verb
予期;よき;yoki;expectation, forecast;Noun, Suru verb, Transitive verb
横切る;よこぎる;yokogiru;to cross, to traverse;Godan verb with 'ru' ending, Transitive verb
横;よこ;yoko;horizontal, beside;Noun
翌朝;よくあさ;yokuasa;next morning​;Noun, Adverb (fukushi)
翌年;よくねん;yokutoshi;following year​;Noun, Adverb (fukushi)
嫁;よめ;yome;wife, bride;Noun
読み;よみ;yomi;reading;Noun
夜中;よなか;yonaka;midnight, dead of night;Noun, Adverb (fukushi)
世の中;よのなか;yo no naka;world, society;Expressions (phrases, clauses, etc.), Noun
喜び;よろこび;yorokobi;joy, delight;Noun
予算;よさん;yosan;estimate, budget;Noun, Suru verb
予測;よそく;yosoku;prediction, estimation;Noun, Suru verb, Transitive verb
予想;よそう;yosou;expectation, prediction;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'
予想外;よそうがい;yosougai;unexpected, unforeseen;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun
止す;よす;yosu;to cease, to desist;Godan verb with 'su' ending, Transitive verb
酔う;よう;you;to get drunk;Godan verb with 'u' ending, Intransitive verb
容易;ようい;youi;easy, simple, plain;Na-adjective (keiyodoshi), Noun
容器;ようき;youki;container, vessel;Noun
用心;ようじん;youjin;care, precaution;Noun, Suru verb, Transitive verb, Intransitive verb
陽気;ようき;youki;weather, cheerful;Na-adjective (keiyodoshi), Noun
要求;ようきゅう;youkyuu;demand, firm request;Noun, Suru verb, Transitive verb
用紙;ようし;youshi;blank form​;Noun
要素;ようそ;youso;element, factor, component;Noun
様子;ようす;yousu;state, appearance;Noun
要点;ようてん;youten;gist, main point;Noun
余裕;よゆう;yoyuu;surplus, margin;Noun
唯一;ゆいいつ;yuiitsu;only, sole, unique;Noun which may take the genitive case particle 'no', Noun, Adverb (fukushi)
床;ゆか;yuka;floor;Noun
愉快;ゆかい;yukai;pleasant, happy;Na-adjective (keiyodoshi), Noun
行き;ゆき;yuki;bound for, going to;Noun
行き先;いきさき;yukisaki;destination, whereabouts;Noun
許す;ゆるす;yurusu;to permit, to allow;Godan verb with 'su' ending, Transitive verb
豊か;ゆたか;yutaka;abundant, wealthy;Na-adjective (keiyodoshi), Suffix
郵便;ゆうびん;yuubin;mail service;Noun
遊園地;ゆうえんち;yuuenchi;amusement park;Noun
夕方;ゆうがた;yuugata;evening, dusk​;Noun, Adverb (fukushi)
友人;ゆうじん;yuujin;friend;Noun
友情;ゆうじょう;yuujou;friendship, fellowship;Noun
勇気;ゆうき;yuuki;courage, bravery;Noun
有効;ゆうこう;yuukou;validity, effectiveness;Na-adjective (keiyodoshi), Noun
友好;ゆうこう;yuukou;friendship;Noun
有能;ゆうのう;yuunou;capable, efficient;Na-adjective (keiyodoshi), Noun
有利;ゆうり;yuuri;advantageous, profitable;Na-adjective (keiyodoshi), Noun
有料;ゆうりょう;yuuryou;fee-charging, paid;Noun which may take the genitive case particle 'no', Noun
優勝;ゆうしょう;yuushou;championship, overall victory;Noun, Suru verb, Intransitive verb
優秀;ゆうしゅう;yuushuu;superiority, excellence;Na-adjective (keiyodoshi), Noun
郵送;ゆうそう;yuusou;mailing, posting​;Noun, Suru verb, Transitive verb
譲る;ゆずる;yuzuru;to hand over, to surrender;Godan verb with 'ru' ending, Transitive verb
稍;やや;yaya;a little, partially;Adverb (fukushi), Noun or verb acting prenominally
材料;ざいりょう;zairyou;ingredients, material;Noun
財産;ざいさん;zaisan;property, fortune, assets;Noun
残業;ざんぎょう;zangyou;overtime (work)​;Noun, Suru verb, Intransitive verb
座席;ざせき;zaseki;seat;Noun
是非;ぜひ;zehi;certainly, without fail;Adverb (fukushi)
税金;ぜいきん;zeikin;tax, duty;Noun
贅沢;ぜいたく;zeitaku;luxury, extravagance;Noun, Na-adjective (keiyodoshi)
善;ぜん;zen;good, goodness, virtue;Noun
前後;ぜんご;zengo;before and after​, front and rear;Noun
全員;ぜんいん;zen’in;all members, everyone;Noun, Adverb (fukushi)
前日;ぜんじつ;zenjitsu;previous day, day before;Noun, Adverb (fukushi)
全国;ぜんこく;zenkoku;countrywide, nationwide;Noun
前者;ぜんしゃ;zensha;the former;Noun
前進;ぜんしん;zenshin;advance, drive, progress;Noun, Suru verb, Intransitive verb
全身;ぜんしん;zenshin;whole (body), full-length;Noun, Noun which may take the genitive case particle 'no'
全体;ぜんたい;zentai;whole, entirety;Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi)
絶対;ぜったい;zettai;absolutely;Adverb (fukushi)
絶滅;ぜつめつ;zetsumetsu;destruction, exinction;Noun, Suru verb
象;ぞう;zou;elephant;Noun
増加;ぞうか;zouka;increase;Noun, Suru verb, Transitive verb, Intransitive verb
図;ず;zu;drawing, picture, diagram;Noun, Noun, used as a suffix
随分;ずいぶん;zuibun;very, extremely;Adverb (fukushi), Adverb taking the 'to' particle
頭痛;ずつう;zutsuu;headache;Noun
